               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066154,            0.034813,                   0,             0.25221,             0.46667,             0.27306,            0.080739,            0.058547,            0.024046,                   0,              0.0838,              0.0018,              0.0018
                   1,            0.070189,            0.039203,                   0,             0.24087,             0.43333,              0.2581,            0.063711,            0.056379,            0.023499,                   0,            0.066639,            0.003639,            0.003639
                   2,            0.068265,            0.036458,                   0,             0.37219,             0.41524,             0.35205,            0.091313,            0.057285,            0.022607,                   0,            0.049415,           0.0054152,           0.0054152
                   3,            0.073298,             0.03687,                   0,             0.37219,             0.41524,             0.35205,            0.091313,            0.057285,            0.022607,                   0,            0.032129,           0.0071287,           0.0071287
                   4,            0.066446,            0.032303,                   0,             0.29289,             0.43333,             0.31188,            0.098634,            0.057313,            0.022527,                   0,             0.01478,           0.0087796,           0.0087796
                   5,            0.065453,            0.029646,                   0,              0.1358,             0.23333,             0.18943,            0.036856,            0.061748,            0.020468,                   0,            0.009175,            0.009175,            0.009175
                   6,             0.07527,            0.030176,                   0,              0.1358,             0.23333,             0.18943,            0.036856,            0.061748,            0.020468,                   0,            0.009175,            0.009175,            0.009175
                   7,            0.067103,            0.030081,                   0,             0.16468,             0.53333,             0.17971,            0.044732,             0.05957,            0.020065,                   0,             0.00901,             0.00901,             0.00901
                   8,            0.067911,            0.032064,                   0,             0.16468,             0.53333,             0.17971,            0.044732,             0.05957,            0.020065,                   0,            0.008845,            0.008845,            0.008845
                   9,            0.065511,            0.027856,                   0,             0.19908,                 0.4,             0.21313,            0.051981,            0.058465,            0.020301,                   0,             0.00868,             0.00868,             0.00868
                  10,             0.06773,            0.035452,                   0,            0.078285,                 0.2,            0.087865,            0.024196,            0.069483,            0.018433,                   0,            0.008515,            0.008515,            0.008515
                  11,            0.066638,            0.030006,                   0,            0.078285,                 0.2,            0.087865,            0.024196,            0.069483,            0.018433,                   0,             0.00835,             0.00835,             0.00835
                  12,            0.071295,            0.032543,                   0,             0.21637,             0.43333,             0.21793,            0.062075,            0.056477,            0.021358,                   0,            0.008185,            0.008185,            0.008185
