               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.047739,            0.028507,                   0,             0.63556,             0.76667,             0.71898,             0.30158,            0.047374,            0.018622,                   0,              0.0838,              0.0018,              0.0018
                   1,            0.049359,            0.033072,                   0,             0.75543,               0.721,             0.75726,             0.30737,            0.046027,            0.017883,                   0,            0.066639,            0.003639,            0.003639
                   2,            0.048642,            0.029567,                   0,             0.63049,             0.63333,             0.66973,             0.19544,            0.046866,            0.017991,                   0,            0.049415,           0.0054152,           0.0054152
                   3,            0.056082,            0.030305,                   0,             0.63049,             0.63333,             0.66973,             0.19544,            0.046866,            0.017991,                   0,            0.032129,           0.0071287,           0.0071287
                   4,            0.053487,             0.02545,                   0,             0.68291,             0.66667,             0.67946,             0.24844,            0.045143,            0.018593,                   0,             0.01478,           0.0087796,           0.0087796
                   5,            0.050441,            0.023969,                   0,              0.2954,                 0.6,             0.25702,            0.070869,            0.064864,            0.016118,                   0,            0.009175,            0.009175,            0.009175
                   6,            0.072324,            0.024371,                   0,              0.2954,                 0.6,             0.25702,            0.070869,            0.064864,            0.016118,                   0,            0.009175,            0.009175,            0.009175
                   7,            0.062018,            0.024625,                   0,             0.38135,             0.66667,             0.46203,             0.15274,            0.053267,            0.017689,                   0,             0.00901,             0.00901,             0.00901
                   8,            0.059507,            0.026752,                   0,             0.38135,             0.66667,             0.46203,             0.15274,            0.053267,            0.017689,                   0,            0.008845,            0.008845,            0.008845
                   9,            0.055392,             0.02259,                   0,             0.36168,                 0.7,             0.43099,             0.14275,            0.049885,            0.019325,                   0,             0.00868,             0.00868,             0.00868
                  10,            0.057821,            0.029631,                   0,             0.25273,             0.53333,              0.2563,            0.091315,            0.064223,            0.017663,                   0,            0.008515,            0.008515,            0.008515
                  11,            0.060837,            0.025909,                   0,             0.25273,             0.53333,              0.2563,            0.091315,            0.064223,            0.017663,                   0,             0.00835,             0.00835,             0.00835
                  12,            0.061056,            0.027172,                   0,             0.36176,                 0.5,             0.38237,             0.15839,            0.055366,            0.019129,                   0,            0.008185,            0.008185,            0.008185
                  13,            0.057904,            0.027346,                   0,             0.36176,                 0.5,             0.38237,             0.15839,            0.055366,            0.019129,                   0,             0.00802,             0.00802,             0.00802
                  14,             0.05187,            0.025743,                   0,             0.40542,             0.53333,             0.40237,             0.16299,            0.054106,            0.018849,                   0,            0.007855,            0.007855,            0.007855
                  15,            0.053575,            0.027351,                   0,              0.3304,               0.658,             0.40747,             0.12989,            0.055079,            0.018259,                   0,             0.00769,             0.00769,             0.00769
