               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.063467,            0.030491,                   0,              0.3571,                 0.5,             0.35698,             0.12698,            0.065703,             0.02113,                   0,             0.00593,             0.00593,             0.00593
                  39,            0.064266,             0.03431,                   0,              0.3571,                 0.5,             0.35698,             0.12698,            0.065703,             0.02113,                   0,             0.00582,             0.00582,             0.00582
                  40,            0.062931,            0.029302,                   0,             0.31044,             0.51037,             0.31672,            0.089084,            0.065125,            0.020407,                   0,             0.00571,             0.00571,             0.00571
                  41,            0.062001,            0.023859,                   0,             0.31044,             0.51037,             0.31672,            0.089084,            0.065125,            0.020407,                   0,              0.0056,              0.0056,              0.0056
                  42,             0.06251,            0.030524,                   0,             0.42508,             0.51779,             0.34762,             0.10087,            0.063792,            0.020261,                   0,             0.00549,             0.00549,             0.00549
                  43,            0.065748,            0.033037,                   0,             0.28624,                 0.3,             0.20034,            0.050418,            0.069265,            0.020064,                   0,             0.00538,             0.00538,             0.00538
                  44,             0.07227,            0.026394,                   0,             0.28624,                 0.3,             0.20034,            0.050418,            0.069265,            0.020064,                   0,             0.00527,             0.00527,             0.00527
                  45,            0.066067,            0.030304,                   0,             0.34388,             0.53333,             0.36156,             0.10302,            0.057839,            0.020302,                   0,             0.00516,             0.00516,             0.00516
                  46,            0.061342,             0.03339,                   0,             0.32319,             0.53333,              0.3769,             0.12584,            0.058635,              0.0195,                   0,             0.00505,             0.00505,             0.00505
                  47,            0.065374,            0.031205,                   0,             0.32319,             0.53333,              0.3769,             0.12584,            0.058635,              0.0195,                   0,             0.00494,             0.00494,             0.00494
                  48,            0.065771,            0.027321,                   0,             0.46924,             0.44227,             0.47791,             0.18033,              0.0537,            0.019802,                   0,             0.00483,             0.00483,             0.00483
                  49,            0.056898,            0.031636,                   0,             0.46924,             0.44227,             0.47791,             0.18033,              0.0537,            0.019802,                   0,             0.00472,             0.00472,             0.00472
