               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12978,            0.037073,                   0,          0.00083333,            0.033333,          0.00046644,          9.3287e-05,             0.12548,            0.032425,                   0,              0.0964,              0.0004,              0.0004
                   1,              0.1261,            0.036299,                   0,           0.0016667,            0.066667,           0.0015178,           0.0010924,             0.12166,             0.03219,                   0,            0.091603,            0.000603,            0.000603
                   2,             0.12366,            0.036173,                   0,           0.0013333,            0.066667,           0.0013702,          0.00054809,             0.11833,            0.031821,                   0,            0.086476,            0.000476,            0.000476
