               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.032565,            0.021344,                   0,             0.84525,                 0.8,             0.80538,              0.4165,            0.038681,            0.017205,                   0,              0.0838,              0.0018,              0.0018
                   1,             0.03444,            0.023756,                   0,              0.8652,             0.85605,             0.88462,             0.39629,            0.038833,            0.016177,                   0,            0.066608,           0.0036084,           0.0036084
                   2,            0.035564,            0.021097,                   0,             0.83547,             0.86667,             0.85656,             0.33685,            0.043091,            0.016656,                   0,            0.049323,           0.0053228,           0.0053228
                   3,            0.047867,            0.024913,                   0,             0.83547,             0.86667,             0.85656,             0.33685,            0.043091,            0.016656,                   0,            0.031943,           0.0069431,           0.0069431
                   4,            0.047557,            0.020198,                   0,             0.77091,             0.83333,             0.83845,              0.3306,            0.040963,            0.016714,                   0,            0.014469,           0.0084694,           0.0084694
                   5,            0.042479,            0.016918,                   0,             0.36445,             0.80286,             0.39364,             0.16452,            0.055107,            0.016038,                   0,           0.0087625,           0.0087625,           0.0087625
                   6,            0.065531,            0.020968,                   0,             0.36445,             0.80286,             0.39364,             0.16452,            0.055107,            0.016038,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,            0.058058,            0.019514,                   0,             0.60113,             0.53333,             0.60505,             0.25623,            0.052965,            0.016324,                   0,            0.008515,            0.008515,            0.008515
                   8,            0.055574,             0.02154,                   0,             0.60113,             0.53333,             0.60505,             0.25623,            0.052965,            0.016324,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,            0.054275,            0.017954,                   0,             0.65143,                 0.5,              0.6384,             0.26543,            0.052365,            0.017273,                   0,             0.00802,             0.00802,             0.00802
                  10,            0.053433,            0.023132,                   0,             0.54833,             0.66667,             0.58676,             0.20319,            0.051742,            0.018204,                   0,           0.0077725,           0.0077725,           0.0077725
                  11,            0.048772,            0.024054,                   0,             0.54833,             0.66667,             0.58676,             0.20319,            0.051742,            0.018204,                   0,            0.007525,            0.007525,            0.007525
                  12,            0.054358,            0.023382,                   0,             0.57082,             0.73333,             0.66872,             0.29317,             0.04749,            0.019511,                   0,           0.0072775,           0.0072775,           0.0072775
                  13,            0.049602,            0.025957,                   0,             0.57082,             0.73333,             0.66872,             0.29317,             0.04749,            0.019511,                   0,             0.00703,             0.00703,             0.00703
                  14,            0.046863,            0.024033,                   0,             0.68167,             0.66667,             0.72709,             0.29203,            0.047641,            0.020044,                   0,           0.0067825,           0.0067825,           0.0067825
                  15,            0.046536,             0.02441,                   0,             0.83977,             0.69884,             0.78688,              0.2919,            0.045748,            0.019664,                   0,            0.006535,            0.006535,            0.006535
                  16,            0.042934,            0.023364,                   0,             0.83977,             0.69884,             0.78688,              0.2919,            0.045748,            0.019664,                   0,           0.0062875,           0.0062875,           0.0062875
                  17,            0.040544,            0.023686,                   0,             0.85389,                 0.7,             0.81618,             0.31225,            0.043127,            0.019797,                   0,             0.00604,             0.00604,             0.00604
                  18,            0.045476,            0.023839,                   0,             0.85389,                 0.7,             0.81618,             0.31225,            0.043127,            0.019797,                   0,           0.0057925,           0.0057925,           0.0057925
                  19,            0.043986,            0.024814,                   0,             0.91161,              0.6879,              0.8285,             0.31157,            0.042544,            0.019483,                   0,            0.005545,            0.005545,            0.005545
                  20,            0.039311,             0.02509,                   0,             0.65841,             0.76667,             0.74891,             0.32156,            0.042483,            0.018435,                   0,           0.0052975,           0.0052975,           0.0052975
                  21,            0.042085,            0.026213,                   0,             0.65841,             0.76667,             0.74891,             0.32156,            0.042483,            0.018435,                   0,             0.00505,             0.00505,             0.00505
                  22,            0.041138,            0.022353,                   0,             0.68756,             0.76667,             0.78179,             0.31354,            0.042654,            0.017828,                   0,           0.0048025,           0.0048025,           0.0048025
                  23,            0.041879,            0.025021,                   0,             0.68756,             0.76667,             0.78179,             0.31354,            0.042654,            0.017828,                   0,            0.004555,            0.004555,            0.004555
                  24,            0.042304,            0.025873,                   0,              0.7756,             0.73333,             0.81187,             0.30812,            0.042385,             0.01703,                   0,           0.0043075,           0.0043075,           0.0043075
                  25,            0.039359,            0.023671,                   0,              0.7756,             0.73333,             0.81187,             0.30812,            0.042385,             0.01703,                   0,             0.00406,             0.00406,             0.00406
